12-1R3sw,71,Low
23-1S1ne,170,Low
5-1S1ne,285,Low
30-1S1sw,364,Low
30-1S1ne,416,Low
14-3S1sw,485,Low
19-3S1ne,526,Low
28-3S1sw,618,Low
14-2E2sa,686,Low
5-3E2rb,789,Low
26-1S1ne,1201,Low
8-4E2rb,1506,Low
26-1R3sw,1557,Low
26-3S1ne,1864,Low
23-1R4ne,127,Med
18-3E2sa,142,Med
23-1R3sw,179,Med
22-1R4sw,294,Med
30-1R4sw,354,Med
19-3R3ne,431,Med
6-3E2rb,473,Med
22-2R4ne,532,Med
6-2E2sa,600,Med
15-3R4sw,675,Med
11-2R3sw,767,Med
9-3R3ne,1462,Med
26-2E2rb,2114,Med
26-1E2rb,3226,Med
28-3R4sw,157,High
5-3R3sw,182,High
28-3E2rb,263,High
8-4E2sa,324,High
23-3S1sw,413,High
22-2E2sa,463,High
6-3R3ne,555,High
23-4R3ne,612,High
23-3R4sw,679,High
23-4R4ne,813,High
23-3R4ne,894,High
8-4R3sw,1372,High
8-4R3ne,1578,High
6-1R4ne,2009,High
